162,78,8,42,20
165,64,8,42,20
160,90,8,40,22
167,49,8,42,18
177,90,8,44,23
184,133,9,46,30
173,62,8,45,19
175,125,12,45,20
169,92,8,45,16
185,120,8,45,24
184,133,8,46,23
172,67,10,45,22
159,85,8,42,21
181,113,7,46,20
176,122,8,45,18
179,59,7,49,17
180,60,13,44,25
170,81,8,43,17
170,78,9,45,20
176,68,9,43,18
163,84,6,46,16
175,80,7,43,16
168,82,10,42,20
178,102,9,45,21
178,64,14,44,0
160,65,7,42,20
171,58,9,42,23
159,50,8,40,15
179,55,5,43,23
170,69,12,43,17
165,90,5,42,23
173,60,7,42,17
177,80,7,44,51
161,45,7,32,41
181,91,6,45,27
159,67,6,39,47
175,66,5,41,53
176,72,9,41,29
177,82,8,43,46
158,77,7,38,62
183,68,7,45,35
176,66,8,43,33
178,72,7,44,31
175,66,9,44,20
173,118,11,43,19
180,90,7,45,18
179,99,8,45,22
177,42,12,45,23
140,50,4,44,16
174,89,10,45,18
160,80,5,42,40
177,85,8,45,34
175,128,8,40,22
142,40,10,37,11
160,92,9,43,13
166,51,14,40,20
178,90,9,45,21
166,47,11,41,111
186,60,7,40,18
153,60,11,40,20
168,71,11,39,23
177,59,10,43,21
164,66,6,40,61
168,69,7,41,45
170,75,6,41,25
165,63,8,42,19
190,112,8,46,33
170,75,6,44,51
181,113,8,45,20
162,63,9,39,26
181,113,7,45,20
169,47,10,42,20
165,63,9,42,19
172,75,7,42,43
156,69,8,42,22
165,66,7,43,20
181,112,7,45,19
163,47,9,43,19
176,56,8,43,19
148,37,8,33,12
